title,lable
半透明黄色小斑,newNode
灰白色,newNode
枯槁色,newNode
波纹状的黄绿或灰绿色病斑,newNode
隐性高秆,newNode
茎秆最上部节间异常伸长,newNode
黑粉病,newNode
小的黑色脓疱或者条纹,newNode
短喙状或圆柱状突起,newNode
褐飞虱病,newNode
茎秆枯黄,newNode
叶片萎蔫,newNode
整株死亡,newNode
育性降低,newNode
杂种不育性,newNode
雌配子不育,newNode
dl(t)表型,newNode
叶片披垂,newNode
其他等位基因,newNode
花器官发育异常,newNode
dm型半矮秆突变体DMF-1,newNode
除第二节间伸长受抑制外，其它接近正常,newNode
第二节间伸长受抑制,newNode
日本晴的qSW5基因,newNode
粒宽的增加,newNode
来自Kasalath的显性等位基因,newNode
散生性状,newNode
杂种劣势现象,newNode
分蘖少，茎秆短，叶色灰绿,newNode
茎秆短,newNode
叶色灰绿,newNode
sdt3基因的品种,newNode
矮生,newNode
多分蘖,newNode
茎秆较软,newNode
叶色偏淡,newNode
抽穗较早,newNode
半矮秆突变单株,newNode
高度明显变矮,newNode
转入拟南芥AtBAK1基因的水稻,newNode
半矮化,newNode
主根缩短,newNode
对24-表油菜素内酯过于敏感,newNode
半矮化、主根缩短和对24-表油菜素内酯过于敏感,newNode
osmyoXIB缺乏突变体,newNode
花粉败育,newNode
ep3突变体,newNode
直立穗,newNode
lp的突变体,newNode
花枝梗增多,newNode
籽粒数增加,newNode
抗倒伏,newNode
Os02g15950功能缺失突变体,newNode
穗直立,newNode
气孔保卫细胞小于野生型,newNode
叶片光合能力和气孔导度均减弱,newNode
不育单株,newNode
花药细小空瘪,newNode
d3突变体,newNode
株高变矮,newNode
分蘖增多,newNode
D3突变体,newNode
腋生分生组织正常形成,newNode
d6突变体,newNode
株高矮化,newNode
spl5突变体,newNode
棕褐色斑点,newNode
D18的突变,newNode
株高显著降低,newNode
d10突变体,newNode
AA-pi21,newNode
病斑较小,newNode
新泰矮,newNode
茎秆较细,newNode
缺失D35,newNode
严重矮化,newNode
不含有Sub1A基因,newNode
淹涝敏感,newNode
Mh-1,newNode
穗长增加,newNode
褐飞虱接虫,newNode
bc3突变体,newNode
轻微矮化,newNode
节间变短,newNode
主根长度变短,newNode
fc1突变体,newNode
株高半矮化,newNode
穗长和分蘖数不变,newNode
Hd3aRNAi转基因植株,newNode
晚花,newNode
分蘖数目明显减少,newNode
s73突变体,newNode
早花,newNode
早花和对光周期不敏感表型,newNode
flo-1,newNode
谷粒形状正常,newNode
胚乳粉状不透明,newNode
过表达FLO2,newNode
增大稻谷籽粒的大小,newNode
矮秆突变体dbs1,newNode
胚基本正常,newNode
茎和根的生长发育出现严重异常,newNode
巨大胚突变体,newNode
比原始品种Kinmaze的胚大2倍,newNode
粳稻9522突变体,newNode
株高较野生型矮,newNode
叶片短而微卷,newNode
d162(t),newNode
株高为正常高度的四分之一左右,newNode
籽粒为正常大小的四分之一左右,newNode
结实很差,newNode
叶短而宽,newNode
水稻黄绿叶突变体ygl1,newNode
前期叶片为黄色,newNode
后期叶色接近野生型,newNode
中期慢慢转绿,newNode
ygl1突变体,newNode
较高的产量,newNode
反义Bel基因在W6154S的表达,newNode
敏感致死,newNode
Kasalath,newNode
茎秆较高并呈散生状,newNode
突变体B142,newNode
节间生长过度,newNode
株高近2倍于野生型,newNode
GA过量,newNode
osmyoXIB突变体,newNode
短日照下不育,newNode
长日照下可育,newNode
突变体植株ddu1,newNode
矮化,newNode
FON3突变体,newNode
超过10%的花中内稃、外稃和颖片的数目增加,newNode
突变体rim1-1,newNode
不矮化,newNode
生长相对缓慢,newNode
根短小,newNode
叶尖有时卷曲,newNode
水稻散生突变体tac2,newNode
分蘖期株型松散,newNode
株型松散,newNode
T65-Plj,newNode
叶片着色更浓重,newNode
OGR1突变,newNode
生长缓慢,newNode
不育,newNode
花梗中小维管束数量和穗轴粗壮度显著增加,newNode
OsSH1转录水平的降低,newNode
不落粒,newNode
ef8突变体,newNode
开花提前,newNode
每穗粒数减少,newNode
叶片为轻微的暗绿色,newNode
zabra15突变体,newNode
斑马叶,newNode
水稻第7染色体,newNode
du-1,newNode
硫酸,newNode
氧,newNode
蛋白产物,newNode
核苷酸结合位点,newNode
基因,newNode
内含子,newNode
细胞质膜受体蛋白,newNode
氨基酸,newNode
真核细胞,newNode
细胞器,newNode
矮泰引-2,newNode
半矮秆基因,newNode
水稻第3染色体,newNode
pms2,newNode
腋芽,newNode
分生组织,newNode
生物,newNode
细胞,newNode
水稻第5染色体,newNode
sd-g,newNode
染色质,newNode
核小体,newNode
Hd6等位基因,newNode
水稻第2染色体,newNode
Pi16,newNode
耐涝水稻,newNode
Sub1A基因,newNode
启动子,newNode
第9染色体,newNode
Pi5,newNode
醇,newNode
羟基,newNode
FR13A,newNode
Sub1A-1,newNode
ALK基因,newNode
外显子,newNode
表现型,newNode
性状,newNode
sd1等位基因,newNode
肉桂醇脱氢酶,newNode
第1染色体短臂,newNode
QTLGn1,newNode
中枢神经系统,newNode
脑,newNode
第7染色体短臂,newNode
S20,newNode
调节子,newNode
富亮氨酸重复序列,newNode
ef4(t),newNode
蛋白质,newNode
FC1cDNA,newNode
系统,newNode
器官,newNode
12号染色体,newNode
抗褐飞虱基因,newNode
丙酮,newNode
酒,newNode
乙醇,newNode
植物,newNode
水果,newNode
类受体蛋白激酶,newNode
丝氨酸-苏氨酸激酶区,newNode
KNOX家族,newNode
OSH15,newNode
碳,newNode
第2染色体,newNode
温敏不育基因,newNode
跨膜受体蛋白激酶,newNode
近膜区,newNode
sd-1,newNode
寄生,newNode
宿主,newNode
植物学,newNode
植物生理学,newNode
突变体,newNode
腋生分生组织,newNode
OSH15cDNA,newNode
MtN3saliva家族,newNode
质膜蛋白,newNode
自然科学,newNode
生物学,newNode
物侯期,newNode
分蘖期,newNode
E2,newNode
碳酸根,newNode
tms5,newNode
水稻第11染色体,newNode
ZR536,newNode
水稻第9染色体,newNode
RM316,newNode
单核苷酸,newNode
甲醛,newNode
解剖学,newNode
植物解剖学,newNode
Pi18,newNode
控制水稻F1花粉半不育的基因位点,newNode
水稻第11染色体的长臂末端,newNode
Pi-1,newNode
NBS域,newNode
激酶1a,newNode
信号肽区,newNode
Pi-10,newNode
丙烯,newNode
4号染色体,newNode
抗性基因Bph6,newNode
D10cDNA,newNode
核糖体,newNode
rRNA,newNode
第8染色体,newNode
tms1,newNode
谷梅4号,newNode
Pigm,newNode
水稻第5条染色体,newNode
E30531,newNode
Hd6cDNA,newNode
第4染色体,newNode
Bph15,newNode
第11染色体,newNode
Xa-21,newNode
水稻第1染色体,newNode
DBS1,newNode
跨膜蛋白,newNode
结构域,newNode
地球,newNode
生物圈,newNode
Aus品种Dular,newNode
S-9,newNode
Amp1,newNode
Te-tep品种,newNode
Xa1,newNode
Pi9区域,newNode
NBS-LRR基因,newNode
4号染色体短臂,newNode
Bph17,newNode
第6染色体,newNode
主效基因Lm,newNode
带电荷区,newNode
Cys,newNode
半胱氨酸,newNode
C903,newNode
D3cDNA,newNode
农垦58S,newNode
pms3,newNode
5号染色体,newNode
xa5,newNode
科学,newNode
实验,newNode
明恢63,newNode
Xa25(t),newNode
RG348,newNode
Xa27cDNA,newNode
MgO,newNode
镁,newNode
淀粉,newNode
同工酶基因Amp1,newNode
穗,newNode
xa13,newNode
OC,newNode
Xa10,newNode
ED结构域,newNode
MtN3基因家族,newNode
Os8N3,newNode
D35,newNode
Calrose76,newNode
鳞茎,newNode
叶子,newNode
等位基因Sub1A-2,newNode
水稻第6染色体,newNode
Hd-1,newNode
化合物,newNode
原子,newNode
富亮氨酸重复域,newNode
LRR,newNode
红糖,newNode
Os8N3cDNA,newNode
分子,newNode
Pi5-2,newNode
BL1,newNode
水稻稻瘟病抗性基因,newNode
腺,newNode
du-4,newNode
Pib基因,newNode
Pi-ta基因,newNode
氨,newNode
氮,newNode
蛋白,newNode
NBS结构域,newNode
产物,newNode
类SH2结构域,newNode
Pi2编码产物,newNode
水稻第4染色体,newNode
Xa2,newNode
RNA,newNode
核苷酸,newNode
第12染色体长臂,newNode
Bph18(t),newNode
MOC1cDNA,newNode
水稻第12染色体,newNode
Pi-6,newNode
真核生物,newNode
细胞核,newNode
Hd3acDNA,newNode
VHIID基序,newNode
第12染色体,newNode
单拷贝标记G2140,newNode
ph9,newNode
水稻第6染色体长臂,newNode
内保护皮层,newNode
种皮,newNode
Pti1基因,newNode
花药,newNode
E3,newNode
htd1,newNode
Bph10,newNode
羧基端,newNode
化石燃料,newNode
石油,newNode
IRBB13,newNode
R基因xa13,newNode
E1,newNode
Pi2,newNode
脂蛋白,newNode
稻瘟病抗性基因,newNode
激酶3a,newNode
Rf3,newNode
Pi-8,newNode
垩白,newNode
腹白,newNode
花冠,newNode
瓣,newNode
Wbph6,newNode
激酶蛋白,newNode
种群,newNode
GS3cDNA,newNode
质膜,newNode
Pi-k,newNode
水稻叶瘟抗性位点Pi-z,newNode
拟南芥,newNode
脯氨酸,newNode
Pi13,newNode
强恢复系IR24,newNode
第10染色体,newNode
细胞质,newNode
细胞骨架,newNode
心白,newNode
纤维素,newNode
M36,newNode
气体,newNode
温度,newNode
迟熟基因,newNode
叶,newNode
IRBB5,newNode
缬氨酸,newNode
甘蔗,newNode
水稻品种Apura,newNode
珠心层,newNode
植株,newNode
花分生组织,newNode
窄叶青8号,newNode
抗叶瘟主效基因Pi-zh,newNode
突变,newNode
脱氧核糖核酸,newNode
ALK,newNode
光敏核不育基因,newNode
Pid3cDNA,newNode
未知功能区,newNode
籽粒,newNode
显性主效基因,newNode
SSR5-51,newNode
EUI1,newNode
G103,newNode
启动子区,newNode
Pi-zh,newNode
GA20ox,newNode
碱基,newNode
Bph9,newNode
煤,newNode
粮食,newNode
谷物,newNode
花被,newNode
氨基端,newNode
躯体,newNode
Pid1基因,newNode
组织,newNode
日本晴,newNode
谷氨酸,newNode
雄蕊,newNode
东亚,newNode
台湾,newNode
区域,newNode
S-32(t),newNode
第3染色体,newNode
BC1,newNode
跨膜结构,newNode
G1318,newNode
甜菜,newNode
第7染色体,newNode
根瘤素基因家族,newNode
Os-8N3,newNode
GA20氧化酶,newNode
Bph14,newNode
NBS-LRR类基因,newNode
Rf4(t),newNode
SSII同工酶,newNode
抽穗期,newNode
非洲栽培稻,newNode
Ehd1,newNode
Xa-25,newNode
Pib,newNode
羧基,newNode
Pi9,newNode
白糖,newNode
Pi5-1,newNode
11染色体长臂,newNode
稻瘟病抗性基因Pik,newNode
短臂,newNode
背白,newNode
Swarnalata,newNode
羧基端尾部区,newNode
激酶1a、2和激酶3a,newNode
Xa26,newNode
原生质体,newNode
内质网,newNode
Pi-35(t),newNode
利比亚粳型品种LAC23,newNode
跨膜区,newNode
第3染色体短臂,newNode
Ef-cd,newNode
OsKO2基因,newNode
CDS,newNode
蛋白激酶,newNode
丝氨酸,newNode
重组自交系,newNode
生物系统,newNode
1号染色体,newNode
S-16,newNode
IR24,newNode
Pik座位,newNode
Ef-3(t),newNode
Amp-3,newNode
sd-t,newNode
水稻第10染色体,newNode
Rf4,newNode
水稻第11染色体的长臂,newNode
植株器官,newNode
Pi15,newNode
基因簇,newNode
质膜凝集素受体激酶基因,newNode
8号染色体,newNode
pss1,newNode
Pi-26,newNode
Bph-14cDNA,newNode
HTD1,newNode
GS3,newNode
富亮氨酸重复区,newNode
第5染色体,newNode
EUI,newNode
水稻第3染色体近着丝粒区,newNode
RZ261,newNode
灌木,newNode
树干,newNode
单加氧酶CYP714D1,newNode
生命科学,newNode
Sub1A-1等位基因,newNode
苏氨酸,newNode
C820,newNode
苯,newNode
富亮氨酸结构域,newNode
R1925,newNode
水稻第8染色体,newNode
Hd5,newNode
bph4,newNode
水稻第6染色体上RG64和RZ612之间,newNode
Pi-2,newNode
跨膜结构域,newNode
Xa16,newNode
地球大气层,newNode
Xa4,newNode
RG191,newNode
其他水稻品种,newNode
同源异型结构域,newNode
SSR5-1,newNode
野生稻,newNode
社会科学,newNode
人类学,newNode
S-29(t),newNode
spl5基因,newNode
品种Tongil,newNode
种,newNode
果皮,newNode
FC1,newNode
Pgi-2,newNode
小粒野生稻,newNode
d35,newNode
古植物学,newNode
α-螺旋结构域,newNode
种子形态解剖学性状,newNode
地上部生物量,newNode
生物学总量,newNode
多组织植物构造,newNode
离体植物构造,newNode
地上部鲜重,newNode
鲜重,newNode
地上部干重,newNode
干物质重量,newNode
穗发育性状,newNode
含碳量,newNode
数量,newNode
维管组织形态解剖学性状,newNode
稻瘟病,newNode
病害,newNode
纹枯病,newNode
霜霉病,newNode
籼稻,newNode
粳稻,newNode
早稻,newNode
晚稻,newNode
旱稻,newNode
杂交水稻,newNode
人工水稻,newNode
籽粒充实度,newNode
种子成熟度,newNode
籽粒硬度,newNode
颖壳颜色,newNode
籽粒水分,newNode
粗度,newNode
生长量,newNode
叶片大小,newNode
分蘖力,newNode
株高,newNode
茎杆刚度,newNode
茎秆强度,newNode
生育期,newNode
时间,newNode
脆性胚乳,newNode
花序苞片发育特征,newNode
细辛,newNode
细辛属,newNode
黄芪,newNode
黄芪属,newNode
冬青,newNode
冬青科,newNode
乌蔹莓,newNode
葡萄科,newNode
桔,newNode
桔梗科,newNode
马齿苋,newNode
马齿苋科,newNode
太白红杉,newNode
红杉,newNode
鹅掌柴属,newNode
五加科,newNode
柳属,newNode
杨柳科,newNode
桃,newNode
蔷薇科,newNode
苹果,newNode
当归,newNode
伞形科,newNode
秋海棠,newNode
秋海棠属,newNode
蒿柳,newNode
附地菜,newNode
紫草科,newNode
高等植物,newNode
卫矛,newNode
卫矛科,newNode
堇,newNode
堇菜科,newNode
风毛菊,newNode
风毛菊属,newNode
鸢尾,newNode
鸢尾科,newNode
球花,newNode
夹竹桃,newNode
夹竹桃科,newNode
荨麻,newNode
荨麻科,newNode
黄精,newNode
黄精属,newNode
胡椒,newNode
胡椒属,newNode
雪莲,newNode
豆科,newNode
堇菜属,newNode
棉,newNode
锦葵科,newNode
猕猴桃,newNode
猕猴桃科,newNode
香花藤,newNode
鹅掌柴,newNode
蓟,newNode
菊科,newNode
棕榈,newNode
棕榈科,newNode
榛属,newNode
桦木科,newNode
百合,newNode
百合属,newNode
蒲公英,newNode
郁金香,newNode
百合科,newNode
荸荠,newNode
莎草科,newNode
沙参,newNode
赤楠,newNode
蒲桃属,newNode
蒲公英属,newNode
松属,newNode
松科,newNode
灯心草属,newNode
灯心草科,newNode
猕猴桃属,newNode
卫矛属,newNode
蒺藜,newNode
蒺藜科,newNode
蛇舌草,newNode
白花蛇舌草,newNode
柯,newNode
壳斗科,newNode
杏李,newNode
山茶,newNode
山茶科,newNode
大戟,newNode
大戟科,newNode
榆,newNode
榆科,newNode
芹属,newNode
筇竹,newNode
禾本科,newNode
杨属,newNode
苦苣,newNode
茶,newNode
筇竹属,newNode
线虫类伤害抗性,newNode
抗性,newNode
深水胁迫,newNode
敏感性,newNode
干旱相关性状,newNode
农药敏感性,newNode
木质素生物合成特性,newNode
苞叶形态解剖学性状,newNode
雌蕊形态解剖学性状,newNode
干重,newNode
根重量,newNode
内稃颜色,newNode
内外稃颜色,newNode
外稃颜色,newNode
小穗重,newNode
小穗形态解剖学性状,newNode
刺葵,newNode
莲藕,newNode
藕,newNode
玄参,newNode
玄参科,newNode
吊兰,newNode
吊兰属,newNode
沙棘属,newNode
胡颓子科,newNode
黄皮,newNode
黄皮属,newNode
槭树,newNode
槭树科,newNode
樟属,newNode
樟科,newNode
忍冬,newNode
忍冬属,newNode
忍冬科,newNode
葛枣,newNode
秋海棠科,newNode
昆明鸡血藤,newNode
冷杉属,newNode
八角,newNode
八角属,newNode
芹,newNode
黄花,newNode
萱草属,newNode
堇菜,newNode
天芥菜,newNode
山樱花,newNode
荸荠属,newNode
胡椒科,newNode
竹,newNode
渥丹,newNode
盐爪爪,newNode
盐爪爪属,newNode
艾蒿,newNode
芋,newNode
芋头,newNode
连蕊茶,newNode
粉苞苣,newNode
茱萸,newNode
山茱萸科,newNode
灯心草,newNode
臭冷杉,newNode
鬼针草,newNode
木通,newNode
木通科,newNode
番荔枝,newNode
番荔枝科,newNode
浆片长度,newNode
浆片形态解剖学特征,newNode
胚乳品质,newNode
毛茛,newNode
毛茛科,newNode
槲寄生,newNode
槲寄生属,newNode
球兰,newNode
球兰属,newNode
画眉草,newNode
画眉草属,newNode
枇杷,newNode
枇杷属,newNode
红豆杉属,newNode
红豆杉科,newNode
毛冬青,newNode
茎角度,newNode
茎形态解剖学性状,newNode
蒸煮酿制品质,newNode
品质性状,newNode
生理过程相关性状,newNode
铁甲虫抗性,newNode
抗虫性,newNode
无患子,newNode
无患子科,newNode
山黄麻属,newNode
大麻科,newNode
大豆,newNode
十大功劳,newNode
小檗科,newNode
火棘,newNode
火棘属,newNode
女贞,newNode
女贞属,newNode
色木,newNode
色木槭,newNode
炮仗花,newNode
紫葳科,newNode
红桦,newNode
桦木属,newNode
大头茶属,newNode
华紫珠,newNode
紫珠属,newNode
胆草,newNode
地胆草,newNode
小鸢尾,newNode
鸢尾属,newNode
飞天蜈蚣,newNode
麒麟叶,newNode
垂丝卫矛,newNode
鱼黄草,newNode
旋花科,newNode
木犀科,newNode
独活,newNode
马兜铃科,newNode
掌叶秋海棠,newNode
蜡梅属,newNode
蜡梅科,newNode
沼柳,newNode
山牵牛属,newNode
爵床科,newNode
丹参,newNode
唇形科,newNode
桤木,newNode
桤木属,newNode
牛筋条,newNode
稠李,newNode
李属,newNode
旋花属,newNode
地肤,newNode
藜科,newNode
紫斑风铃草,newNode
风铃草属,newNode
杞柳,newNode
水麻,newNode
云南山茶,newNode
清明花,newNode
清明花属,newNode
竹属,newNode
岳桦,newNode
八角茴香,newNode
大戟属,newNode
熊猫,newNode
大熊猫,newNode
风仙花,newNode
凤仙花科,newNode
牛舌草属,newNode
兰,newNode
兰科,newNode
紫珠,newNode
铁木,newNode
铁木属,newNode
水仙,newNode
水仙属,newNode
指标,newNode
钠含量,newNode
矿质离子含量相关性状,newNode
病毒病,newNode
四照花,newNode
刺槐,newNode
枇杷叶,newNode
镜面草,newNode
草子,newNode
紫云英,newNode
梧桐,newNode
梧桐属,newNode
八宝,newNode
景天科,newNode
红光敏,newNode
芽形态解剖学特征,newNode
地上部形态解剖学特征,newNode
生殖生长期,newNode
植物生命周期,newNode
营养生长期,newNode
冬青卫矛,newNode
山芹,newNode
矮鸢尾,newNode
落羽松,newNode
杉科,newNode
减数分裂,newNode
细胞分裂周期,newNode
蜡梅,newNode
断肠花,newNode
黑弹树,newNode
耐受性,newNode
桃叶珊瑚,newNode
桃叶珊瑚属,newNode
香樟,newNode
樟,newNode
南酸枣属,newNode
漆树科,newNode
苦菜,newNode
榆叶梅,newNode
落叶松属,newNode
长叶松,newNode
毛山楂,newNode
山楂,newNode
灰杨,newNode
凤梨,newNode
凤梨科,newNode
紫鱼,newNode
笛鲷科,newNode
尼泊尔桤木,newNode
中亚沙棘,newNode
银柳,newNode
地黄,newNode
知风草,newNode
高粱泡,newNode
旋复花,newNode
山蜡梅,newNode
鼠海豚,newNode
鼠海豚科,newNode
西康扁桃,newNode
南洋楹,newNode
合欢属,newNode
马蹄金属,newNode
红豆杉,newNode
孩儿茶,newNode
儿茶,newNode
D3,newNode
F-box蛋白,newNode
性状本体,newNode
词汇表,newNode
产量性状,newNode
生化性状,newNode
形态解剖学特征,newNode
其它杂项性状,newNode
异交潜力,newNode
结实率,newNode
苗重,newNode
重量,newNode
植物构造,newNode
胚发育性状,newNode
根发育性状,newNode
种子发育特征,newNode
维管束发育性状,newNode
生殖生长阶段,newNode
组织发育性状,newNode
地上部发育性状,newNode
阶段,newNode
水稻抗褐飞虱主效基因,newNode
NBS-LRR类抗病基因,newNode
低温发芽力,newNode
秋季,newNode
冬季,newNode
每穗小花数,newNode
草本植物花序,newNode
RM6737,newNode
单个,newNode
研究,newNode
遗传图距,newNode
杂种优势,newNode
生长旺盛,newNode
光学图像,newNode
模拟图像,newNode
遗传转化,newNode
转基因,newNode
9月,newNode
10月,newNode
Gn1b,newNode
Gn1a,newNode
焦糖,newNode
酱油,newNode
铁离子浓度,newNode
唐朝,newNode
后梁,newNode
Kasalath等位基因,newNode
总蛋白含量,newNode
可溶性总蛋白比,newNode
RM589,newNode
RM588,newNode
挥发性脂肪酸,newNode
抗性淀粉,newNode
茎杆角度,newNode
茎杆,newNode
遗传互补实验,newNode
膜,newNode
小穗,newNode
每穗种子数,newNode
种子数量,newNode
油酸含量,newNode
染色体,newNode
遗传学,newNode
蒸腾速率,newNode
水分利用效率,newNode
整个根系干重,newNode
深根重比,newNode
4月,newNode
5月,newNode
误差,newNode
测得的量值,newNode
8月,newNode
遗传率,newNode
总方差,newNode
钾含量,newNode
雄性,newNode
茎衰老,newNode
茎秆,newNode
物理,newNode
生物工程,newNode
《时代周刊》,newNode
《时代》,newNode
阿拉伯糖,newNode
L(+)-树胶醛糖,newNode
土星,newNode
天王星,newNode
相对生长率,newNode
植物生长,newNode
镉离子浓度,newNode
酸,newNode
D-葡萄糖,newNode
线粒体,newNode
WA352,newNode
麦芽提取物百分比,newNode
酵母营养,newNode
HN57,newNode
华南农业大学,newNode
中世纪,newNode
文艺复兴,newNode
叶绿素b,newNode
叶绿素a/b比值,newNode
火星,newNode
SSR标记,newNode
cM,newNode
光合作用速率,newNode
气孔关闭,newNode
国际市场,newNode
花卉,newNode
体型,newNode
繁殖力,newNode
十粒重,newNode
谷粒,newNode
份额,newNode
籼S,newNode
安农S-1,newNode
时期,newNode
煎熬,newNode
RM171,newNode
成株期,newNode
穗瘟,newNode
Pp,newNode
Prp-a,newNode
感小种1,newNode
抗小种2,newNode
周期,newNode
先传播到阿拉伯,newNode
阿拉伯数字,newNode
日,newNode
24小时,newNode
浆片数目,newNode
《词典》,newNode
《辞典》,newNode
防止肌肉损失,newNode
更快的分解转化为葡萄糖,newNode
光合作用总量,newNode
单位时间内植物固定的碳总量,newNode
原料,newNode
材料,newNode
杂交不亲和性,newNode
远缘杂交常表现不亲和,newNode
海王星,newNode
1月,newNode
2月,newNode
SSR,newNode
育性恢复基因,newNode
可溶性蛋白含量,newNode
难度,newNode
测试题目的难易程度,newNode
懒人稻,newNode
越年再生稻,newNode
分离,newNode
重组,newNode
粒宽,newNode
粒重,newNode
R3192,newNode
C12072S,newNode
夏季,newNode
草本植物,newNode
颖片数,newNode
锌离子浓度,newNode
小穗密度,newNode
过去,newNode
今日,newNode
金星,newNode
康熙,newNode
雍正,newNode
春季,newNode
总茎杆数,newNode
体积茎杆数比,newNode
遗传工程,newNode
亚油酸含量,newNode
干细胞,newNode
发芽速率,newNode
脱壳籽粒宽度,newNode
籽粒长宽比,newNode
发芽率,newNode
节间的伸长,newNode
基因的表达上调,newNode
生物产量,newNode
收获指数,newNode
铁元素敏感性,newNode
铁毒性,newNode
叶绿素不足,newNode
Hd3a,newNode
RFT1,newNode
育性,newNode
小学,newNode
初中,newNode
职称,newNode
资格,newNode
信号,newNode
信息,newNode
脱壳带皮籽粒,newNode
粒长,newNode
带壳带皮的果粒,newNode
完备性,newNode
充分性,newNode
董事长,newNode
董事会主席,newNode
稻曲病菌,newNode
价格,newNode
花叶,newNode
洪水,newNode
成体干细胞,newNode
内细胞团,newNode
地上部,newNode
正常,newNode
根,newNode
胚芽鞘形态解剖学特征,newNode
胚芽鞘,newNode
花粉,newNode
嘉庆,newNode
道光,newNode
硼离子浓度,newNode
自交不亲和性,newNode
近亲繁殖,newNode
ω-3脂肪酸含量,newNode
群体,newNode
叶鞘直径,newNode
叶鞘,newNode
现象,newNode
等位基因,newNode
水稻驯化,newNode
光合作用,newNode
心脏,newNode
大脑,newNode
总根数,newNode
地下根占总根比,newNode
萌芽率,newNode
微卫星DNA,newNode
简单重复序列,newNode
巴基斯坦,newNode
互作,newNode
胞质,newNode
未发芽种子,newNode
面板,newNode
面皮,newNode
共同体,newNode
偏差,newNode
测定的平均值,newNode
生长率,newNode
体长的增量,newNode
水稻所结子实,newNode
共享共同价值观,newNode
类胡萝卜素含量,newNode
参考量值,newNode
Ptr(t),newNode
Pi-ta,newNode
钾离子含量变化,newNode
钠离子竞争,newNode
磷酸盐含量,newNode
总钾离子,newNode
钠钾含量比,newNode
F2群体,newNode
珍汕,newNode
含氮量,newNode
随机分析法,newNode
抽样调查,newNode
